text,legal_issue,bias_type,urgency,language,location,age,gender
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,distress,Hindi,Bangalore,29,other
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,distress,Hindi,Patna,30,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,urgent,Hindi,Hyderabad,23,female
Husband is beating me daily.,domestic_violence,none,distress,English,Bhopal,35,other
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,distress,Hindi,Bangalore,37,male
Padosi mera zameen kabza kar raha hai.,property_dispute,caste_bias,normal,English,Mumbai,50,male
Husband is beating me daily.,domestic_violence,gender_bias,normal,Hindi,Mumbai,33,female
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,distress,Hindi,Jaipur,39,male
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,English,Delhi,55,other
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,normal,Hinglish,Bangalore,32,other
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,normal,Hinglish,Delhi,54,other
Bacche ki custody ka case hai court me.,child_custody,caste_bias,normal,English,Kolkata,52,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,gender_bias,distress,English,Lucknow,21,female
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,urgent,Hinglish,Kolkata,43,female
My in-laws are torturing me for dowry.,dowry,none,normal,English,Bangalore,51,other
I am being harassed at workplace by senior.,harassment,none,normal,Hindi,Bangalore,21,other
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,urgent,Hinglish,Patna,51,female
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,Hindi,Hyderabad,21,male
Bacche ki custody ka case hai court me.,child_custody,caste_bias,urgent,Hindi,Kolkata,41,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,caste_bias,distress,Hindi,Chennai,48,male
Online log gaali de rahe hain.,cyber_bullying,caste_bias,distress,Hinglish,Bangalore,28,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,distress,Hinglish,Jaipur,22,female
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,urgent,Hindi,Chennai,27,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,distress,Hindi,Patna,36,female
Wife is denying me access to child.,child_custody,none,urgent,Hinglish,Mumbai,44,other
Neighbour encroaching on my land.,property_dispute,gender_bias,distress,Hinglish,Bangalore,29,other
Office me biased treatment mil raha hai.,workplace_discrimination,none,normal,Hinglish,Bhopal,20,female
They are making me work overtime without pay.,labor_rights_violation,none,normal,English,Chennai,18,other
Company salary nahi de rahi.,labor_rights_violation,none,normal,Hindi,Kolkata,50,male
Mere pati mujhe maarte hain roz.,domestic_violence,none,normal,Hinglish,Kolkata,52,female
Roz ghar pe violence hota hai.,domestic_violence,gender_bias,normal,Hinglish,Hyderabad,27,other
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,distress,English,Bangalore,53,male
Consumer complaint file karna hai.,consumer_rights,none,distress,Hindi,Jaipur,54,female
I am being harassed at workplace by senior.,harassment,gender_bias,urgent,English,Hyderabad,21,male
Husband is beating me daily.,domestic_violence,gender_bias,distress,Hindi,Bhopal,25,female
Bacche ki custody ka case hai court me.,child_custody,none,normal,Hinglish,Chennai,21,female
Corruption ho raha hai har jagah.,bribery_corruption,gender_bias,urgent,Hinglish,Delhi,26,female
Company salary nahi de rahi.,labor_rights_violation,none,distress,English,Jaipur,28,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,distress,English,Jaipur,32,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,distress,English,Hyderabad,35,female
Company salary nahi de rahi.,labor_rights_violation,gender_bias,normal,English,Jaipur,31,male
Boss discriminating against me for being None.,workplace_discrimination,none,urgent,Hinglish,Lucknow,26,female
Bacche ki custody ka case hai court me.,child_custody,caste_bias,distress,Hinglish,Delhi,44,male
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,distress,Hinglish,Lucknow,40,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,urgent,Hinglish,Hyderabad,35,other
Boss discriminating against me for being Caste.,workplace_discrimination,caste_bias,normal,English,Jaipur,51,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,normal,English,Delhi,38,other
Property ka dispute chal raha hai.,property_dispute,class_bias,normal,Hindi,Mumbai,57,other
Had to pay bribe for simple work.,bribery_corruption,gender_bias,urgent,Hindi,Bangalore,44,other
My in-laws are torturing me for dowry.,dowry,caste_bias,urgent,Hinglish,Hyderabad,28,female
Landlord evicted me without any legal notice.,rent_eviction,class_bias,normal,English,Bhopal,56,male
Property ka dispute chal raha hai.,property_dispute,caste_bias,urgent,Hindi,Kolkata,35,female
Landlord evicted me without any legal notice.,rent_eviction,none,distress,English,Bangalore,47,male
They refused to register FIR citing my Class identity.,FIR_denial,class_bias,urgent,Hindi,Bangalore,25,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,gender_bias,normal,Hinglish,Bhopal,19,male
Child custody dispute with spouse.,child_custody,caste_bias,normal,Hindi,Patna,48,female
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,distress,English,Jaipur,59,male
Corruption ho raha hai har jagah.,bribery_corruption,gender_bias,distress,Hinglish,Chennai,45,male
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,distress,English,Kolkata,48,male
People are trolling and abusing me on social media.,cyber_bullying,none,urgent,Hinglish,Hyderabad,48,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,distress,Hindi,Jaipur,59,female
Online log gaali de rahe hain.,cyber_bullying,gender_bias,distress,Hinglish,Delhi,26,male
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,normal,Hinglish,Bhopal,21,other
Consumer complaint file karna hai.,consumer_rights,none,urgent,Hinglish,Hyderabad,49,other
Child custody dispute with spouse.,child_custody,none,normal,English,Mumbai,58,male
Mere sasural wale dowry maang rahe hain.,dowry,none,urgent,Hindi,Mumbai,33,other
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,urgent,Hindi,Lucknow,19,female
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,normal,Hinglish,Patna,53,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,distress,English,Patna,23,male
Had to pay bribe for simple work.,bribery_corruption,none,normal,Hindi,Jaipur,54,male
Company salary nahi de rahi.,labor_rights_violation,gender_bias,distress,Hindi,Mumbai,48,female
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,normal,Hinglish,Delhi,32,other
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,urgent,English,Kolkata,35,other
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,urgent,English,Mumbai,19,female
My in-laws are torturing me for dowry.,dowry,gender_bias,distress,English,Chennai,50,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,urgent,Hinglish,Chennai,60,other
Roz ghar pe violence hota hai.,domestic_violence,class_bias,normal,Hinglish,Delhi,37,other
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,class_bias,normal,Hindi,Mumbai,18,female
Online log gaali de rahe hain.,cyber_bullying,none,normal,Hinglish,Lucknow,42,other
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,normal,Hindi,Hyderabad,34,male
Online log gaali de rahe hain.,cyber_bullying,class_bias,distress,Hinglish,Patna,54,male
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,urgent,Hindi,Patna,35,other
Office me biased treatment mil raha hai.,workplace_discrimination,gender_bias,urgent,English,Chennai,26,other
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,distress,Hinglish,Lucknow,26,other
Promotion nahi mila kyunki main Caste hoon.,workplace_discrimination,caste_bias,normal,Hinglish,Lucknow,54,other
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,normal,Hinglish,Bhopal,47,male
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,urgent,Hindi,Bhopal,21,other
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,normal,English,Lucknow,50,female
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hinglish,Bangalore,43,female
Corruption ho raha hai har jagah.,bribery_corruption,gender_bias,urgent,Hindi,Bangalore,51,other
Mere sasural wale dowry maang rahe hain.,dowry,gender_bias,distress,Hindi,Hyderabad,35,male
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,normal,English,Patna,32,other
Corruption ho raha hai har jagah.,bribery_corruption,class_bias,distress,Hindi,Lucknow,22,other
Office me biased treatment mil raha hai.,workplace_discrimination,caste_bias,urgent,English,Bangalore,24,other
Police FIR nahi likh rahi kyunki main None hoon.,FIR_denial,none,normal,Hinglish,Lucknow,60,male
Office wale badtameezi karte hain.,harassment,none,distress,Hindi,Lucknow,33,female
Landlord evicted me without any legal notice.,rent_eviction,class_bias,distress,English,Kolkata,39,other
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,urgent,Hinglish,Jaipur,56,female
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,urgent,Hindi,Chennai,21,male
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,distress,English,Delhi,33,male
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,caste_bias,normal,English,Delhi,23,male
Promotion nahi mila kyunki main Caste hoon.,workplace_discrimination,caste_bias,normal,English,Jaipur,38,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,distress,Hindi,Kolkata,51,other
Office wale badtameezi karte hain.,harassment,caste_bias,normal,Hindi,Hyderabad,28,male
Husband is beating me daily.,domestic_violence,none,urgent,English,Lucknow,18,male
Husband is beating me daily.,domestic_violence,none,urgent,Hinglish,Delhi,58,other
Promotion nahi mila kyunki main None hoon.,workplace_discrimination,none,urgent,Hindi,Jaipur,19,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,normal,Hinglish,Hyderabad,50,male
Mere sasural wale dowry maang rahe hain.,dowry,none,distress,Hinglish,Delhi,29,female
Corruption ho raha hai har jagah.,bribery_corruption,gender_bias,distress,Hinglish,Bhopal,45,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,urgent,Hindi,Kolkata,49,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,distress,Hindi,Mumbai,38,male
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,distress,English,Patna,56,female
Husband is beating me daily.,domestic_violence,gender_bias,normal,Hinglish,Patna,24,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,distress,Hindi,Patna,56,other
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,urgent,Hindi,Patna,28,male
Office wale badtameezi karte hain.,harassment,gender_bias,normal,Hinglish,Lucknow,52,other
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,distress,Hinglish,Patna,32,female
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,normal,Hinglish,Kolkata,43,female
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,urgent,Hinglish,Kolkata,53,female
Child custody dispute with spouse.,child_custody,gender_bias,urgent,Hindi,Mumbai,51,other
Bacche ki custody ka case hai court me.,child_custody,none,normal,Hinglish,Lucknow,57,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,gender_bias,normal,English,Patna,21,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,normal,English,Mumbai,20,male
They are making me work overtime without pay.,labor_rights_violation,gender_bias,distress,Hinglish,Chennai,21,female
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,urgent,English,Chennai,38,male
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,urgent,Hindi,Kolkata,25,other
Consumer complaint file karna hai.,consumer_rights,gender_bias,distress,Hindi,Kolkata,46,male
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,urgent,Hindi,Kolkata,41,female
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,urgent,Hinglish,Mumbai,60,female
My in-laws are torturing me for dowry.,dowry,none,urgent,Hindi,Bangalore,54,female
They are making me work overtime without pay.,labor_rights_violation,none,normal,Hinglish,Bhopal,58,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,distress,Hindi,Bangalore,50,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,normal,Hinglish,Bhopal,56,male
Product defective hai aur return nahi le rahe.,consumer_rights,none,normal,Hinglish,Jaipur,31,male
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,normal,English,Bangalore,56,female
I am being harassed at workplace by senior.,harassment,caste_bias,distress,Hindi,Patna,24,female
Property ka dispute chal raha hai.,property_dispute,class_bias,normal,English,Bangalore,54,male
My in-laws are torturing me for dowry.,dowry,class_bias,normal,Hinglish,Kolkata,18,female
Bacche ki custody ka case hai court me.,child_custody,class_bias,urgent,Hinglish,Hyderabad,29,female
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,normal,Hinglish,Mumbai,37,male
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,normal,Hinglish,Bangalore,53,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,class_bias,normal,English,Hyderabad,51,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,normal,Hindi,Chennai,42,female
My in-laws are torturing me for dowry.,dowry,none,urgent,Hindi,Patna,47,other
Police is not filing my FIR because I am None.,FIR_denial,none,distress,Hindi,Jaipur,54,male
My in-laws are torturing me for dowry.,dowry,caste_bias,normal,English,Kolkata,38,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,distress,English,Jaipur,42,female
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,normal,Hindi,Bhopal,21,male
Boss discriminating against me for being Class.,workplace_discrimination,class_bias,normal,Hindi,Mumbai,37,female
My in-laws are torturing me for dowry.,dowry,gender_bias,urgent,Hinglish,Hyderabad,53,female
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,normal,Hindi,Chennai,41,other
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,urgent,Hinglish,Delhi,40,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,urgent,Hindi,Chennai,39,female
Husband is beating me daily.,domestic_violence,none,urgent,Hindi,Mumbai,49,male
Bacche ki custody ka case hai court me.,child_custody,caste_bias,urgent,English,Lucknow,30,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,Hinglish,Lucknow,43,female
Child custody dispute with spouse.,child_custody,class_bias,urgent,English,Lucknow,45,male
Landlord evicted me without any legal notice.,rent_eviction,class_bias,urgent,Hinglish,Hyderabad,35,female
Wife is denying me access to child.,child_custody,class_bias,distress,Hinglish,Hyderabad,59,female
Company salary nahi de rahi.,labor_rights_violation,class_bias,normal,Hinglish,Lucknow,60,other
Boss discriminating against me for being Caste.,workplace_discrimination,caste_bias,distress,English,Patna,31,male
Police is not filing my FIR because I am None.,FIR_denial,none,urgent,English,Hyderabad,59,male
Consumer complaint file karna hai.,consumer_rights,none,normal,English,Patna,35,other
Wife is denying me access to child.,child_custody,class_bias,normal,Hinglish,Jaipur,59,female
Promotion nahi mila kyunki main Caste hoon.,workplace_discrimination,caste_bias,urgent,Hindi,Hyderabad,25,female
Bacche ki custody ka case hai court me.,child_custody,none,distress,Hinglish,Jaipur,44,male
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,normal,Hindi,Mumbai,21,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,distress,English,Chennai,49,male
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,distress,English,Bhopal,44,other
Neighbour encroaching on my land.,property_dispute,class_bias,distress,Hinglish,Patna,20,male
Had to pay bribe for simple work.,bribery_corruption,none,normal,Hinglish,Hyderabad,59,female
Online log gaali de rahe hain.,cyber_bullying,caste_bias,normal,Hinglish,Delhi,44,male
Roz ghar pe violence hota hai.,domestic_violence,class_bias,normal,Hinglish,Delhi,40,female
Mere sasural wale dowry maang rahe hain.,dowry,caste_bias,normal,English,Kolkata,19,female
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,normal,Hindi,Bhopal,27,male
I am being harassed at workplace by senior.,harassment,none,distress,Hindi,Mumbai,30,female
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,distress,English,Hyderabad,51,male
Neighbour encroaching on my land.,property_dispute,none,urgent,English,Chennai,48,female
Consumer complaint file karna hai.,consumer_rights,caste_bias,normal,Hindi,Jaipur,55,male
Had to pay bribe for simple work.,bribery_corruption,caste_bias,urgent,Hinglish,Chennai,27,male
Office me biased treatment mil raha hai.,workplace_discrimination,caste_bias,normal,Hindi,Jaipur,36,male
Landlord evicted me without any legal notice.,rent_eviction,class_bias,urgent,Hindi,Hyderabad,56,other
Mujhe office me sexual harassment ho raha hai.,harassment,none,distress,Hindi,Bangalore,35,male
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,urgent,Hindi,Hyderabad,30,other
Property ka dispute chal raha hai.,property_dispute,gender_bias,urgent,Hinglish,Mumbai,36,male
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,distress,Hindi,Delhi,42,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,English,Delhi,28,other
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,class_bias,distress,Hinglish,Chennai,32,other
Landlord evicted me without any legal notice.,rent_eviction,class_bias,normal,English,Patna,47,male
Consumer complaint file karna hai.,consumer_rights,none,distress,English,Chennai,35,female
Neighbour encroaching on my land.,property_dispute,class_bias,urgent,Hindi,Mumbai,30,female
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,normal,English,Bangalore,39,male
People are trolling and abusing me on social media.,cyber_bullying,class_bias,normal,English,Delhi,26,male
Neighbour encroaching on my land.,property_dispute,none,urgent,Hindi,Lucknow,58,male
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,urgent,Hindi,Lucknow,56,other
Online log gaali de rahe hain.,cyber_bullying,none,distress,Hindi,Bhopal,27,other
My in-laws are torturing me for dowry.,dowry,none,normal,English,Hyderabad,54,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,urgent,English,Bangalore,30,other
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,caste_bias,urgent,English,Patna,35,other
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,urgent,Hindi,Delhi,36,male
Had to pay bribe for simple work.,bribery_corruption,gender_bias,normal,Hinglish,Hyderabad,44,female
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,normal,Hindi,Bangalore,41,other
Corruption ho raha hai har jagah.,bribery_corruption,caste_bias,urgent,Hinglish,Bhopal,41,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,urgent,Hindi,Chennai,21,other
